Date,Day_of_Week,Time_NYC,Temperature (F),Humidity (%),PA PM2.5 (um/m3),PA Particles,Temtop,Neph,Location,Train_Line,Train_number,Outside? (Y/N),Loc_code,Initials
2/3/2021,Wednesday,19:01:39,79,17,0,0.66,,,,,, ,Loc_code,NP
2/3/2021,Wednesday,19:03:39,79,17,0,0.97,,,,,, ,Loc_code,NP
2/3/2021,Wednesday,19:05:39,79,16,0,0.52,,,,,, ,Loc_code,NP
2/3/2021,Wednesday,19:07:39,79,17,0,0.34,,,,,, ,Loc_code,NP
2/3/2021,Wednesday,19:09:39,79,16,0,0.27,,,,,, ,Loc_code,NP
2/3/2021,Wednesday,19:11:39,79,16,0,0.47,,,,,, ,Loc_code,NP
2/3/2021,Wednesday,19:13:39,79,16,0,0.54,,,,,, ,Loc_code,NP
2/3/2021,Wednesday,19:15:39,79,16,0.16,1.56,,,,,, ,Loc_code,NP
2/3/2021,Wednesday,19:17:39,79,16,0.09,1.05,,,,,, ,Loc_code,NP
2/3/2021,Wednesday,19:19:39,79,16,0,0.79,,,,,, ,Loc_code,NP
2/3/2021,Wednesday,19:21:39,79,16,0,0.53,,,,,, ,Loc_code,NP
2/3/2021,Wednesday,19:23:39,79,16,0,0.81,,,,,, ,Loc_code,NP
2/3/2021,Wednesday,19:25:39,79,16,0.02,0.91,,,,,, ,Loc_code,NP
2/3/2021,Wednesday,19:27:39,79,17,0.02,0.65,,,,,, ,Loc_code,NP
2/3/2021,Wednesday,19:29:39,79,17,0,0.24,,,,,, ,Loc_code,NP
2/3/2021,Wednesday,19:31:39,79,17,0,0.22,,,,,, ,Loc_code,NP
2/3/2021,Wednesday,19:33:39,79,17,0,0,,,,,, ,Loc_code,NP
2/3/2021,Wednesday,19:35:39,79,17,0,0.43,,,,,, ,Loc_code,NP
2/3/2021,Wednesday,19:37:39,79,17,0,0.85,,,,,, ,Loc_code,NP
2/3/2021,Wednesday,19:39:39,79,17,0.17,1.29,,,,,, ,Loc_code,NP
2/3/2021,Wednesday,19:41:39,79,17,0,0.18,,,,,, ,Loc_code,NP
