created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2020-07-01 19:00:00 UTC,0.91,1.55,1.89,8,-47,79,25,1.55
2020-07-01 20:00:00 UTC,108.57,179.82,191.51,25.34,-50.38,80.31,24.45,119.74
2020-07-01 21:00:00 UTC,26.18,37.34,38.29,84,-50,83.7,24,30.9
2020-07-01 22:00:00 UTC,4.73,6.78,7.14,144,-50.4,84.07,22.93,6.78
2020-07-01 23:00:00 UTC,2.55,4.12,4.59,204,-49.83,81.4,21.4,4.12
2020-07-02 00:00:00 UTC,1.46,2.43,2.71,264,-50.17,80.97,21.7,2.43
2020-07-02 01:00:00 UTC,1.11,1.88,2.14,324,-50,81.6,21,1.88
2020-07-02 02:00:00 UTC,0.93,1.57,1.79,384,-49.47,81.53,21,1.57
2020-07-02 03:00:00 UTC,0.84,1.36,1.55,444,-50,81,21,1.36
2020-07-02 04:00:00 UTC,0.8,1.28,1.47,504,-50.33,81,21,1.28
2020-07-02 05:00:00 UTC,0.73,1.26,1.37,564,-50.77,81,20.87,1.26
2020-07-02 06:00:00 UTC,0.76,1.3,1.45,624,-50.77,81,20.67,1.3
2020-07-02 07:00:00 UTC,0.82,1.32,1.53,684,-50.2,80.77,20.07,1.32
2020-07-02 08:00:00 UTC,0.82,1.32,1.52,744,-49.63,80.1,20.03,1.32
2020-07-02 09:00:00 UTC,0.95,1.51,1.66,804,-50.2,80,20,1.51
2020-07-02 10:00:00 UTC,1.13,1.76,1.89,864,-50.6,80,20,1.76
2020-07-02 11:00:00 UTC,1.13,1.75,1.9,924,-50.03,79.6,20.07,1.75
2020-07-02 12:00:00 UTC,1.25,1.87,2.06,984,-49.63,79,21.07,1.87
2020-07-02 13:00:00 UTC,1.11,1.75,1.89,1044,-49.3,78.9,21.8,1.75
2020-07-02 14:00:00 UTC,1.44,1.97,2.09,1104,-49.47,78.97,22,1.97
