created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,ADC,Pressure_hpa,IAQ,PM2.5_ATM_ug/m3
2020-07-01 19:00:00 UTC,0.64,1.29,1.74,17001.14,0.02,861.83,,1.29
2020-07-01 20:00:00 UTC,113.62,181.01,185.37,18520.55,0.02,861.47,,120.58
2020-07-01 21:00:00 UTC,27.57,37.75,38.26,18384,0.02,860.95,,31.33
2020-07-01 22:00:00 UTC,5.24,7.33,7.68,18400.8,0.02,860.14,,7.33
2020-07-01 23:00:00 UTC,2.58,4.26,4.58,18395.2,0.02,859.46,,4.26
2020-07-02 00:00:00 UTC,1.51,2.57,2.79,18395.2,0.02,858.96,,2.57
2020-07-02 01:00:00 UTC,1.13,2.01,2.2,18389.6,0.02,858.85,,2.01
2020-07-02 02:00:00 UTC,0.97,1.64,1.78,18378.4,0.02,858.82,,1.64
2020-07-02 03:00:00 UTC,0.9,1.52,1.64,18389.6,0.02,859.07,,1.52
2020-07-02 04:00:00 UTC,0.82,1.42,1.61,18400.8,0.02,859.64,,1.42
2020-07-02 05:00:00 UTC,0.87,1.38,1.54,18372.8,0.02,859.97,,1.38
2020-07-02 06:00:00 UTC,0.77,1.38,1.5,18391.47,0.02,860.21,,1.38
2020-07-02 07:00:00 UTC,0.88,1.44,1.58,18400.8,0.02,860.51,,1.44
2020-07-02 08:00:00 UTC,0.82,1.42,1.56,18393.33,0.02,860.94,,1.42
2020-07-02 09:00:00 UTC,0.99,1.58,1.71,18412,0.02,861.4,,1.58
2020-07-02 10:00:00 UTC,1.13,1.8,1.94,18384,0.02,861.57,,1.8
2020-07-02 11:00:00 UTC,1.19,1.81,1.91,18406.4,0.02,862.65,,1.81
2020-07-02 12:00:00 UTC,1.27,1.91,2.06,18395.2,0.02,863.83,,1.91
2020-07-02 13:00:00 UTC,1.22,1.84,1.95,18400.8,0.02,864.57,,1.84
2020-07-02 14:00:00 UTC,1.38,1.96,2.07,18398.93,0.02,864.72,,1.96
2020-07-02 15:00:00 UTC,1.72,2.31,2.47,18372.8,0.02,864.91,,2.31
2020-07-02 16:00:00 UTC,1.54,2.19,2.32,18376,0.02,864.99,,2.19
